  0.16666667D-03  0.56072276D-11
  0.33333333D-03  0.38150346D-10
  0.50000000D-03  0.60547041D-10
  0.66666667D-03 -0.20003360D-10
  0.83333333D-03  0.61021815D-10
  0.10000000D-02  0.23715277D-10
  0.11666667D-02  0.83460245D-10
  0.13333333D-02 -0.51043730D-10
  0.15000000D-02 -0.27703502D-11
  0.16666667D-02 -0.12684849D-10
  0.18333333D-02  0.22205526D-10
  0.20000000D-02 -0.96549421D-10
  0.21666667D-02 -0.80688911D-10
  0.23333333D-02  0.74014357D-10
  0.25000000D-02  0.75011521D-10
  0.26666667D-02 -0.39242743D-10
  0.28333333D-02  0.98060854D-10
  0.30000000D-02 -0.34038724D-10
  0.31666667D-02  0.64800262D-11
  0.33333333D-02 -0.44761878D-10
  0.35000000D-02  0.59489095D-10
  0.36666667D-02  0.22002172D-10
  0.38333333D-02 -0.28170021D-10
  0.40000000D-02 -0.15438534D-10
  0.41666667D-02 -0.50117712D-10
  0.43333333D-02  0.16527854D-10
  0.45000000D-02 -0.82719092D-10
  0.46666667D-02  0.28147895D-10
  0.48333333D-02 -0.51694688D-10
  0.50000000D-02  0.69690419D-10
  0.51666667D-02  0.55755892D-10
  0.53333333D-02  0.18081861D-10
  0.55000000D-02  0.79773539D-10
  0.56666667D-02  0.61791816D-10
  0.58333333D-02  0.14759288D-10
  0.60000000D-02 -0.89664507D-10
  0.61666667D-02 -0.77924022D-10
  0.63333333D-02 -0.10642904D-10
  0.65000000D-02 -0.46743601D-10
  0.66666667D-02 -0.87083645D-10
  0.68333333D-02  0.83174969D-11
  0.70000000D-02  0.83553519D-10
  0.71666667D-02  0.81680195D-10
  0.73333333D-02 -0.32684989D-10
  0.75000000D-02  0.25454992D-10
  0.76666667D-02 -0.95677742D-10
  0.78333333D-02  0.93411437D-10
  0.80000000D-02  0.11901965D-10
  0.81666667D-02  0.76553764D-10
  0.83333333D-02 -0.62668534D-10
  0.85000000D-02 -0.94937432D-10
  0.86666667D-02  0.14609153D-10
  0.88333333D-02  0.98049930D-10
  0.90000000D-02 -0.72769581D-10
  0.91666667D-02 -0.17157242D-10
  0.93333333D-02  0.20006444D-10
  0.95000000D-02 -0.52291866D-10
  0.96666667D-02  0.51278458D-10
  0.98333333D-02  0.16904031D-10
  0.10000000D-01 -0.68720703D-10
  0.10166667D-01  0.26058052D-10
  0.10333333D-01 -0.62437729D-10
  0.10500000D-01 -0.91862750D-10
  0.10666667D-01  0.76368616D-10
  0.10833333D-01 -0.50864745D-10
  0.11000000D-01  0.87430694D-10
  0.11166667D-01  0.24609924D-10
  0.11333333D-01  0.16506006D-10
  0.11500000D-01 -0.27410104D-10
  0.11666667D-01  0.11033928D-10
  0.11833333D-01  0.60964674D-10
  0.12000000D-01 -0.77420958D-10
  0.12166667D-01 -0.46147823D-10
  0.12333333D-01 -0.52501943D-10
  0.12500000D-01  0.56259945D-11
  0.12666667D-01  0.50174295D-10
  0.12833333D-01 -0.38596267D-10
  0.13000000D-01  0.41929914D-11
  0.13166667D-01  0.23067681D-10
  0.13333333D-01 -0.22622036D-10
  0.13500000D-01  0.53389869D-10
  0.13666667D-01  0.15092330D-10
  0.13833333D-01  0.84527434D-10
  0.14000000D-01 -0.96345786D-10
  0.14166667D-01 -0.64169602D-10
  0.14333333D-01 -0.59733194D-11
  0.14500000D-01  0.68396346D-10
  0.14666667D-01  0.20403068D-10
  0.14833333D-01 -0.26956899D-10
  0.15000000D-01 -0.28957109D-10
  0.15166667D-01  0.57732014D-10
  0.15333333D-01  0.56965654D-10
  0.15500000D-01  0.76369176D-10
  0.15666667D-01  0.59649182D-11
  0.15833333D-01 -0.15782220D-10
  0.16000000D-01  0.67168938D-10
  0.16166667D-01  0.52325480D-10
  0.16333333D-01 -0.17291130D-10
  0.16500000D-01  0.51107596D-10
  0.16666667D-01  0.31846234D-11
  0.16833333D-01  0.36410071D-10
  0.17000000D-01  0.16861736D-10
  0.17166667D-01  0.72823082D-10
  0.17333333D-01 -0.70662371D-10
  0.17500000D-01  0.17360318D-10
  0.17666667D-01  0.72664264D-10
  0.17833333D-01  0.17672912D-10
  0.18000000D-01 -0.48008114D-11
  0.18166667D-01  0.74142924D-10
  0.18333333D-01 -0.33507650D-10
  0.18500000D-01  0.93029378D-10
  0.18666667D-01 -0.26176945D-11
  0.18833333D-01  0.35218236D-10
  0.19000000D-01  0.64174365D-10
  0.19166667D-01 -0.11951261D-10
  0.19333333D-01 -0.93116207D-10
  0.19500000D-01  0.34746779D-12
  0.19666667D-01  0.30347818D-10
  0.19833333D-01 -0.71974650D-10
  0.20000000D-01  0.40612725D-10
  0.20166667D-01 -0.53693218D-10
  0.20333333D-01  0.85383427D-10
  0.20500000D-01  0.14246981D-10
  0.20666667D-01  0.58120516D-10
  0.20833333D-01  0.64423656D-10
  0.21000000D-01  0.16840168D-10
  0.21166667D-01 -0.66079619D-10
  0.21333333D-01 -0.19968068D-10
  0.21500000D-01 -0.23977171D-10
  0.21666667D-01  0.79327896D-10
  0.21833333D-01 -0.54067994D-10
  0.22000000D-01  0.28386262D-10
  0.22166667D-01  0.21496027D-10
  0.22333333D-01 -0.10295577D-10
  0.22500000D-01 -0.56173523D-10
  0.22666667D-01  0.62692344D-10
  0.22833333D-01  0.97821927D-10
  0.23000000D-01  0.79862331D-10
  0.23166667D-01  0.25866051D-11
  0.23333333D-01 -0.97803998D-10
  0.23500000D-01 -0.89625293D-10
  0.23666667D-01  0.52556845D-10
  0.23833333D-01  0.56545501D-10
  0.24000000D-01 -0.19635586D-10
  0.24166667D-01  0.98526384D-10
  0.24333333D-01 -0.82103147D-10
  0.24500000D-01 -0.86009733D-10
  0.24666667D-01  0.34795842D-10
  0.24833333D-01 -0.10635341D-10
  0.25000000D-01 -0.28333733D-11
  0.25166667D-01 -0.27579286D-10
  0.25333333D-01  0.40081240D-11
  0.25500000D-01 -0.17316340D-10
  0.25666667D-01 -0.98133959D-10
  0.25833333D-01 -0.29185952D-10
  0.26000000D-01  0.32360913D-10
  0.26166667D-01 -0.13992366D-10
  0.26333333D-01 -0.48373236D-10
